name,category
1 beanie,Others
1 brunkager cookie,Christmas
1 kilo 45 % mælkechokolade,Chocolate
1 kilo 71% mørk chokolade,Chocolate
1 kugle,Ice Cream
1 stor brunkage-cookie (Magasin),Christmas
1 vaniljestang,Others
1 x iskop (+ske),Ice Cream
10 bites,Chocolate
10 fløde,Buns & Bakery
10 nougat bites,Chocolate
100g choko coatede nødder,Chocolate
100g chokoladebrud,Chocolate
100gr brunkager pose,Christmas
100kr gavepose,Gifts & Cards
1kg 100% chokolade,Chocolate
1kg chokolade blok,Chocolate
1kg nougat,Chocolate
2 kugler,Ice Cream
2 x Cocoon is te stor 70cl,Others
2 x børnekugler = 4 små kugler,Ice Cream
200g chokoladebrud,Chocolate
200gr brunkager pose,Buns & Bakery
2x Gløgg (Magasin variant),Christmas
3 cookies,Buns & Bakery
3 cookies gaveposer,Gifts & Cards
3 kransekage,Buns & Bakery
3 kugler,Ice Cream
3 marcipanhjerter,Chocolate
3 romkugler,Buns & Bakery
30g Cocoafair bar,Chocolate
4 boghvede,Buns & Bakery
4 boghvede/julboller,Christmas
4 boghvede/vinterboller,Buns & Bakery
4 boghvedebolle,Buns & Bakery
4 chokoladepinde gaveposer,Gifts & Cards
4 daggammel boghvede eller jul bolle,Christmas
4 dagsgammel boghvedebolle,Buns & Bakery
4 små marcipanhjerte,Chocolate
4 stk cookies,Buns & Bakery
4 æbleskyer m. jam/flormelis,Buns & Bakery
40 personer isdisk,Others
5 bites,Chocolate
5 boller,Buns & Bakery
5 chufaboller,Buns & Bakery
5 daggammel boghvede eller vinterbolle,Buns & Bakery
5 daggammel boller,Buns & Bakery
5 daggammel chufaboller,Buns & Bakery
5 flødeboller,Chocolate
5 marcipanæg,Others
5 nougat bites,Chocolate
5 snackbar,Chocolate
50g Cocoafair  bar,Chocolate
6 marcipanæg gavepose,Gifts & Cards
6 stk Brunkager (Magasin),Christmas
6 store brunkage-cookies (Magasin),Christmas
65% mørk chokolade,Chocolate
7 beanies,Others
71% mørk chokolade,Chocolate
9 lækre bites,Chocolate
95% mørk chokolade,Chocolate
Affogato,Ice Cream
Agrain crackers,Snacks & Nuts
Agrain crisps,Snacks & Nuts
Alkoholfri Gløgg (Magasin variant),Christmas
Americano   -   espresso   -   te,Hot Beverages
Andet,Others
Aqua D'Or Iced tea 500ml,Others
BMO,Buns & Bakery
BMO (Brug 2 skiver (cirka 20g) af den nye Blomstereng-ost),Buns & Bakery
BMO (Brug 2 skiver (cirka 30g) af den nye Blomstereng-ost),Buns & Bakery
Bettina,Others
Bite,Chocolate
Black Week Digital Gift Card,Gifts & Cards
Black Week Gavekort - Black Week Gavekort,Gifts & Cards
Black Week Gavekort - kr 650.00,Gifts & Cards
Boghvede/julbolle mix 400g,Christmas
Boghvedebolle,Buns & Bakery
Boghvedebolle eller Julbolle,Christmas
Boghvedebolle eller vinterbolle,Buns & Bakery
Boghvedemix 400g,Buns & Bakery
Bogvedeboller,Buns & Bakery
Bolle,Buns & Bakery
Bormholmsmosteri solbærsaft,Others
Brud,Chocolate
Brunch box,Buns & Bakery
Brunkager pose 200g,Christmas
Brunkager rulle,Christmas
Brunkager rulle 400g,Christmas
Brunkagerdej rulle 400g,Christmas
ByBi honning,Others
Bybi honning bolsjer,Others
Bæger,Others
Bærepose,Others
Børnekugler <10 år,Ice Cream
Cappuccino/Latte/Cortado/Flat White,Hot Beverages
Cashew smør,Others
Cashew smør - 1 KG,Others
Cashew smør - 250 G,Others
Cecilie isdisk,Others
Chai latte (inkl.flødeskum),Hot Beverages
Chokolade brud,Chocolate
Chokolade/kakaomix,Hot Beverages
Chokoladebrud 100 g - Hvid chokolade med hindbær,Chocolate
Chokoladebrud 100g,Chocolate
Chokoladebrud 200g,Chocolate
Chokoladebrud 300g,Chocolate
Chokoladebrud efter vægt,Chocolate
Chokoladerørpinde 2stk,Chocolate
Chokoladevaffel,Ice Cream
Chokoladevaffel to go,Ice Cream
Chokopose,Gifts & Cards
Chufabolle,Buns & Bakery
Chufabollemix 900g,Buns & Bakery
Chufamix 900g,Buns & Bakery
Coatede nødder - Coatede mandler - hvid chokolade & hindbær,Chocolate
Cocoon Tea Tin,Others
Cocoon is te lille 33cl,Others
Cocoon is te stor 70cl,Others
Cookie,Buns & Bakery
Cookie gavepose,Gifts & Cards
Cookiedej rulle,Buns & Bakery
Cookiedej rulle 800g,Buns & Bakery
Crackers,Snacks & Nuts
Dadelbar,Chocolate
Daggammel bolle,Buns & Bakery
Daggammel chufabolle,Buns & Bakery
Dagsbillet,Others
Dagsgammel Boghvede eller Jul bolle,Christmas
Dagsgammel boghvede,Buns & Bakery
Dagsgammel boghvede eller vinterbolle,Buns & Bakery
Deluxe varmchokolade (inkl.flødeskum),Hot Beverages
Ekstra boghvedebolle,Buns & Bakery
Ekstra chufabolle,Buns & Bakery
Ekstra cookie,Buns & Bakery
Ekstra espressoshot,Hot Beverages
Ekstrakugle,Ice Cream
Espresso 1kg,Hot Beverages
Espresso 250g,Hot Beverages
Extra bar/flødebolle,Chocolate
Extra dagsgammel boghvedebolle,Buns & Bakery
Extra dagsgammel chufabolle,Buns & Bakery
Extra kaffe sirup,Hot Beverages
Flødebolle,Chocolate
Flødebollebite,Chocolate
Flødebollekursus 349kr,Others
Flødebollekursus 399kr,Others
Flødebollekursus B2B 419kr,Others
Flødebollekursus privat 399kr - minimum 8 personer,Others
Flødebollekursus privat 419kr - minimum 8 personer,Others
Flødebollekursus private 369kr,Others
Flødebollekursus åben 369kr,Others
Gavekort,Gifts & Cards
"Gavekort - 1,00 kr.",Gifts & Cards
"Gavekort - 1.100,00 kr.",Gifts & Cards
"Gavekort - 100,00 kr.",Gifts & Cards
"Gavekort - 200,00 kr.",Gifts & Cards
"Gavekort - 275,00 kr.",Gifts & Cards
"Gavekort - 50,00 kr.",Gifts & Cards
"Gavekort - 550,00 kr.",Gifts & Cards
"Gavekort - 825,00 kr.",Gifts & Cards
Gavekort - Gavekort,Gifts & Cards
"Gavekort - minimum 100kr - 1,00 kr.",Gifts & Cards
"Gavekort - minimum 100kr - 1.000,00 kr.",Gifts & Cards
"Gavekort - minimum 100kr - 1.100,00 kr.",Gifts & Cards
"Gavekort - minimum 100kr - 250,00 kr.",Gifts & Cards
"Gavekort - minimum 100kr - 275,00 kr.",Gifts & Cards
"Gavekort - minimum 100kr - 500,00 kr.",Gifts & Cards
"Gavekort - minimum 100kr - 550,00 kr.",Gifts & Cards
"Gavekort - minimum 100kr - 650,00 kr.",Gifts & Cards
"Gavekort - minimum 100kr - 825,00 kr.",Gifts & Cards
Gavekort - minimum 100kr - Gavekort - minimum 100kr,Gifts & Cards
Gavepose,Gifts & Cards
Gaveæske 1 unit = 1kr,Gifts & Cards
Gaveæske lille,Gifts & Cards
